                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     91,                0.53058,                0.39408,                0.83633,                0.81327,                0.79724,                 0.8538,                0.73149,                0.60793,                0.55224,                0.88835,             0.00016991,             0.00016991,             0.00016991
                     92,                0.51021,                0.36446,                0.83176,                0.83656,                0.77261,                0.85316,                0.72932,                0.60896,                0.54153,                0.88604,             0.00015576,             0.00015576,             0.00015576
                     93,                0.50951,                0.35306,                0.83108,                0.79884,                 0.7967,                0.84508,                0.72281,                0.60878,                0.55951,                0.88575,             0.00014161,             0.00014161,             0.00014161
                     94,                0.50055,                 0.3497,                0.82992,                0.84089,                0.77159,                0.85282,                0.72849,                0.60822,                0.55465,                0.88822,             0.00012747,             0.00012747,             0.00012747
                     95,                0.49673,                0.34848,                0.83086,                0.83324,                0.78016,                0.85414,                0.73095,                0.60704,                0.54593,                0.88872,             0.00011332,             0.00011332,             0.00011332
                     96,                0.49714,                 0.3358,                0.82988,                0.82052,                 0.7904,                0.84917,                0.72688,                0.60851,                0.55748,                0.88667,             9.9173e-05,             9.9173e-05,             9.9173e-05
                     97,                0.49505,                0.35265,                0.83153,                0.82953,                0.77853,                0.85162,                0.72836,                0.60703,                0.55613,                0.88816,             8.5026e-05,             8.5026e-05,             8.5026e-05
                     98,                0.49225,                0.33343,                0.82599,                0.81921,                0.80121,                0.85191,                0.73111,                0.60362,                0.54989,                 0.8875,             7.0878e-05,             7.0878e-05,             7.0878e-05
                     99,                 0.4923,                0.33236,                0.82705,                0.82865,                0.78619,                0.85179,                0.72986,                0.60086,                0.54909,                0.88504,             5.6731e-05,             5.6731e-05,             5.6731e-05
                    100,                 0.4821,                0.32869,                0.82589,                0.82757,                0.78798,                  0.852,                0.73051,                0.60287,                0.55203,                0.88532,             4.2584e-05,             4.2584e-05,             4.2584e-05
